title,price_gbp,rating,in_stock,category
A Light in the Attic,51.77,3,True,Poetry
Tipping the Velvet,53.74,1,True,Historical Fiction
Soumission,50.1,1,True,Fiction
Sharp Objects,47.82,4,True,Mystery
Sapiens: A Brief History of Humankind,54.23,5,True,History
The Requiem Red,22.65,1,True,Young Adult
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,True,Business
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,True,Default
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,True,Default
The Black Maria,52.15,1,True,Poetry
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,True,Default
Shakespeare's Sonnets,20.66,4,True,Poetry
Set Me Free,17.46,5,True,Young Adult
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,True,Sequential Art
Rip it Up and Start Again,35.02,5,True,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,True,Music
Olio,23.88,1,True,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,True,Science Fiction
Libertarianism for Beginners,51.33,2,True,Politics
It's Only the Himalayas,45.17,2,True,Travel
In Her Wake,12.84,1,True,Thriller
How Music Works,37.32,2,True,Music
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,True,Food and Drink
Chase Me (Paris Nights #2),25.27,5,True,Romance
Black Dust,34.53,5,True,Romance
Birdsong: A Story in Pictures,54.64,3,True,Childrens
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,True,Default
Aladdin and His Wonderful Lamp,53.13,3,True,Default
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,True,Nonfiction
Wall and Piece,44.18,4,True,Art
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,True,Spirituality
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,Nonfiction
The Elephant Tree,23.82,5,True,Thriller
The Bear and the Piano,36.89,1,True,Childrens
Sophie's World,15.94,5,True,Philosophy
Penny Maybe,33.29,3,True,Default
Maude (1883-1993):She Grew Up with the country,18.02,2,True,Default
"In a Dark, Dark Wood",19.63,1,True,Mystery
Behind Closed Doors,52.22,4,True,Thriller
You can't bury them all: Poems,33.63,2,True,Poetry
Slow States of Collapse: Poems,57.31,3,True,Poetry
Reasons to Stay Alive,26.41,2,True,Nonfiction
Private Paris (Private #10),47.61,5,True,Fiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,Nonfiction
Without Borders (Wanderlove #1),45.07,2,True,New Adult
When We Collided,31.77,1,True,Contemporary
"We Love You, Charlie Freeman",50.27,5,True,Fiction
Untitled Collection: Sabbath Poems 2014,14.27,4,True,Poetry
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True,Nonfiction
Unicorn Tracks,18.78,3,True,Fantasy
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,True,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,True,Sequential Art
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True,Nonfiction
This One Summer,19.49,4,True,Sequential Art
Thirst,17.27,5,True,Fiction
The Torch Is Passed: A Harding Family Story,19.09,1,True,Add a comment
The Secret of Dreadwillow Carse,56.13,1,True,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,True,Food and Drink
The Past Never Ends,56.5,4,True,Mystery
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,True,Young Adult
The Nameless City (The Nameless City #1),38.16,4,True,Sequential Art
The Murder That Never Was (Forensic Instincts #5),54.11,3,True,Fiction
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,True,Science
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,True,Add a comment
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True,Nonfiction
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,True,Default
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,True,Nonfiction
The Death of Humanity: and the Case for Life,58.11,4,True,Philosophy
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,True,Health
The Art Forger,40.76,3,True,Add a comment
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,True,History
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,True,Spirituality
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True,Nonfiction
Soul Reader,39.58,2,True,Default
Security,39.25,2,True,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,True,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,True,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,True,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,True,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,True,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,1,True,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,True,History
Patience,10.16,3,True,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,True,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,True,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,True,Self Help
On a Midnight Clear,14.07,3,True,Add a comment
Obsidian (Lux #1),14.86,2,True,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,2,True,Food and Drink
Masks and Shadows,56.4,2,True,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,True,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,True,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,True,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,True,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,True,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,True,Add a comment
Join,35.67,5,True,Science Fiction
In the Country We Love: My Family Divided,22.0,4,True,Nonfiction
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,True,Science
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,True,Sequential Art
I am a Hero Omnibus Volume 1,54.63,3,True,Sequential Art
How to Be Miserable: 40 Strategies You Already Use,46.03,1,True,Self Help
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,True,Romance
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,True,Sequential Art
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,True,Historical Fiction
First and First (Five Boroughs #3),15.97,4,True,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,1,True,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,True,Nonfiction
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,True,Religion
Danganronpa Volume 1,51.99,4,True,Sequential Art
Crown of Midnight (Throne of Glass #2),43.29,3,True,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,True,Sequential Art
Camp Midnight,17.08,4,True,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,True,Nonfiction
Burning,28.81,3,True,Young Adult
Bossypants,49.46,2,True,Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,True,Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,True,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,True,Nonfiction
A World of Flavor: Your Gluten Free Passport,42.95,1,True,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,True,Default
A Murder in Time,16.64,1,True,Mystery
A Flight of Arrows (The Pathfinders #2),55.53,5,True,Historical Fiction
A Fierce and Subtle Poison,28.13,4,True,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,True,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,True,Christian
You Are What You Love: The Spiritual Power of Habit,21.87,4,True,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,True,Science Fiction
Tuesday Nights in 1980,21.04,2,True,Fiction
Tracing Numbers on a Train,41.6,3,True,Default
Throne of Glass (Throne of Glass #1),35.07,3,True,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,True,History
Thirteen Reasons Why,52.72,1,True,Default
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,True,Childrens
The Wedding Dress,24.12,1,True,Romance
The Vacationers,42.15,4,True,Fiction
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,True,Business
The Stranger,17.44,4,True,Philosophy
The Shadow Hero (The Shadow Hero),33.14,1,True,Sequential Art
The Secret (The Secret #1),27.37,4,True,Default
The Regional Office Is Under Attack!,51.36,5,True,Fiction
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,True,Default
The Project,10.65,1,True,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,True,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,True,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,True,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,True,Mystery
The Mistake (Off-Campus #2),43.29,3,True,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,True,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,True,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,True,Crime
The Kite Runner,41.82,4,True,Default
The House by the Lake,36.95,1,True,Historical Fiction
The Glittering Court (The Glittering Court #1),44.28,1,True,Fantasy
The Girl on the Train,55.02,2,True,Default
The Genius of Birds,17.24,1,True,Nonfiction
The Emerald Mystery,23.15,2,True,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,True,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,True,Default
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,True,Nonfiction
The Art of War,33.34,5,True,Default
The Argonauts,10.93,2,True,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,True,Business
Suddenly in Love (Lake Haven #1),55.99,2,True,Romance
Something More Than This,16.24,4,True,Romance
Soft Apocalypse,26.12,2,True,Science Fiction
So You've Been Publicly Shamed,12.23,2,True,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,True,Business
"Shobu Samurai, Project Aryoku (#3)",29.06,3,True,Add a comment
Secrets and Lace (Fatal Hearts #1),20.27,1,True,Default
Scarlett Epstein Hates It Here,43.55,5,True,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,True,Default
Redeeming Love,20.47,5,True,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,True,Default
Poems That Make Grown Women Cry,14.19,4,True,Poetry
"Nightingale, Sing",38.28,1,True,Young Adult
Night Sky with Exit Wounds,41.05,1,True,Poetry
Mrs. Houdini,30.25,5,True,Historical Fiction
Modern Romance,28.26,5,True,Add a comment
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,True,Default
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,True,Biography
Little Red,13.47,3,True,Childrens
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,True,Young Adult
Large Print Heart of the Pride,19.15,2,True,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,True,Womens Fiction
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,True,Fantasy
Grumbles,22.16,2,True,Default
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,True,Travel
Frostbite (Vampire Academy #2),29.99,5,True,Young Adult
Follow You Home,21.36,1,True,Horror
First Steps for New Christians (Print Edition),29.0,1,True,Default
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,True,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,True,Sequential Art
Eureka Trivia 6.0,54.59,4,True,Default
Drive: The Surprising Truth About What Motivates Us,34.95,4,True,Default
Done Rubbed Out (Reightman & Bailey #1),37.72,5,True,Default
Doing It Over (Most Likely To #1),35.61,3,True,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,True,Food and Drink
Dark Notes,19.19,5,True,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,True,Nonfiction
Close to You,49.46,4,True,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,37.8,2,True,Spirituality
Big Magic: Creative Living Beyond Fear,30.8,3,True,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,True,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,True,Default
Batman: The Long Halloween (Batman),36.5,2,True,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,5,True,Sequential Art
Ayumi's Violin,15.48,2,True,Default
Anonymous,46.82,4,True,Default
Amy Meets the Saints and Sages,18.46,3,True,Default
Amid the Chaos,36.58,1,True,Cultural
Amatus,50.54,5,True,Default
Agnostic: A Spirited Manifesto,12.51,5,True,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,True,History
You (You #1),43.61,5,True,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,True,Sequential Art
Wild Swans,14.36,2,True,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,True,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,True,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,True,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,True,Sequential Art
Walt Disney's Alice in Wonderland,12.96,5,True,Childrens
V for Vendetta (V for Vendetta Complete),37.1,4,True,Default
Until Friday Night (The Field Party #1),46.31,2,True,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,True,Default
Twenty Yawns,22.08,2,True,Childrens
Through the Woods,25.38,2,True,Sequential Art
This Is Where It Ends,27.12,2,True,Young Adult
The Year of Magical Thinking,43.04,2,True,Nonfiction
The Wright Brothers,56.8,4,True,Default
The White Queen (The Cousins' War #1),25.91,5,True,Add a comment
The Wedding Pact (The O'Malleys #2),32.61,3,True,Romance
The Time Keeper,27.88,5,True,Fiction
The Testament of Mary,52.67,4,True,Fiction
The Star-Touched Queen,46.02,5,True,Fantasy
The Songs of the Gods,44.48,5,True,Default
The Song of Achilles,37.4,5,True,Add a comment
The Rosie Project (Don Tillman #1),54.04,1,True,Default
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,True,Default
The Marriage of Opposites,28.08,4,True,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,True,Psychology
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,True,Humor
The Loney,23.4,1,True,Horror
The Literature Book (Big Ideas Simply Explained),17.43,3,True,Nonfiction
The Last Mile (Amos Decker #2),54.21,2,True,Mystery
The Immortal Life of Henrietta Lacks,40.67,2,True,Add a comment
The Hidden Oracle (The Trials of Apollo #1),52.26,2,True,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,True,Food and Drink
The Guilty (Will Robie #4),13.82,2,True,Thriller
The First Hostage (J.B. Collins #2),25.85,3,True,Fiction
The Dovekeepers,48.78,1,True,Add a comment
The Darkest Lie,35.35,5,True,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,True,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,True,Nonfiction
The 14th Colony (Cotton Malone #11),39.24,1,True,Thriller
That Darkness (Gardiner and Renner #1),13.92,1,True,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,True,Mystery
Take Me with You,45.21,3,True,Fiction
Swell: A Year of Waves,45.58,1,True,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,True,Sequential Art
Still Life with Bread Crumbs,26.41,3,True,Fiction
Steve Jobs,39.5,5,True,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,True,Science
Someone Like You (The Harrisons #2),52.79,5,True,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,True,Sequential Art
Shtum,55.84,4,True,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,True,Travel
salt.,46.78,4,True,Poetry
Robin War,47.82,3,True,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,True,Sequential Art
Rain Fish,23.57,3,True,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,True,Poetry
Pet Sematary,10.56,3,True,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,True,Self Help
Once Was a Time,18.28,2,True,Childrens
Old School (Diary of a Wimpy Kid #10),11.83,5,True,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,True,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,True,Sequential Art
My Name Is Lucy Barton,41.56,1,True,Fiction
My Mrs. Brown,24.48,3,True,Fiction
My Kind of Crazy,40.36,1,True,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,True,Fiction
More Than Music (Chasing the Dream #1),37.61,2,True,Add a comment
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,True,Business
Luis Paints the World,53.95,3,True,Childrens
Luckiest Girl Alive,49.83,3,True,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,True,Sequential Art
Love Is a Mix Tape (Music #1),18.03,1,True,Music
Looking for Lovely: Collecting the Moments that Matter,29.14,5,True,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,True,Default
Let It Out: A Journey Through Journaling,26.79,5,True,Nonfiction
Lady Midnight (The Dark Artifices #1),16.28,5,True,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,True,Food and Drink
Island of Dragons (Unwanteds #7),29.65,1,True,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,True,Humor
I Am Pilgrim (Pilgrim #1),10.6,4,True,Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,True,Humor
"Hush, Hush (Hush, Hush #1)",47.02,3,True,Default
